site_id,name,address,district,state,latitude,longitude,gis_accuracy
S358,Masjid in Front of Machi Haveli,Pavagadh/Champaner,Panchmahals,Gujarat,22.483285,73.533075,"approximate (area: Pavagadh/Champaner, Panchmahals)"
S359,Maratha no Mahal,Pavagadh/Champaner,Panchmahals,Gujarat,22.483285,73.533075,"approximate (area: Pavagadh/Champaner, Panchmahals)"
S360,Rani no Mahal,Pavagadh/Champaner,Panchmahals,Gujarat,22.483285,73.533075,"approximate (area: Pavagadh/Champaner, Panchmahals)"
S361,Bandh,Pavagadh/Champaner,Panchmahals,Gujarat,22.483285,73.533075,"approximate (area: Pavagadh/Champaner, Panchmahals)"
S362,Lila Gumbaj Pase ni Kothi,Pavagadh/Champaner,Panchmahals,Gujarat,22.483285,73.533075,"approximate (area: Pavagadh/Champaner, Panchmahals)"
S363,Bhangelu Deru,Pavagadh/Champaner,Panchmahals,Gujarat,22.483285,73.533075,"approximate (area: Pavagadh/Champaner, Panchmahals)"
S364,Chhatris Thambla Nu Bhoyneru,Pavagadh/Champaner,Panchmahals,Gujarat,22.483285,73.533075,"approximate (area: Pavagadh/Champaner, Panchmahals)"
S365,Zare-e-Zamin,Pavagadh/Champaner,Panchmahals,Gujarat,22.483285,73.533075,"approximate (area: Pavagadh/Champaner, Panchmahals)"
S366,Pavilion South of Jami Masjid,Pavagadh/Champaner,Panchmahals,Gujarat,22.483285,73.533075,"approximate (area: Pavagadh/Champaner, Panchmahals)"
S367,Iteri Masjid and Building near to it,Pavagadh/Champaner,Panchmahals,Gujarat,22.483285,73.533075,"approximate (area: Pavagadh/Champaner, Panchmahals)"
S368,Sainiki Masjid,Pavagadh/Champaner,Panchmahals,Gujarat,22.483285,73.533075,"approximate (area: Pavagadh/Champaner, Panchmahals)"
S369,Vandra Masjid,Pavagadh/Champaner,Panchmahals,Gujarat,22.483285,73.533075,"approximate (area: Pavagadh/Champaner, Panchmahals)"
S370,Maqbara Mandvi,Pavagadh/Champaner,Panchmahals,Gujarat,22.495398,73.511914,exact
S371,Maqbara Near Kamani Masjid,Pavagadh/Champaner,Panchmahals,Gujarat,22.483285,73.533075,"approximate (area: Pavagadh/Champaner, Panchmahals)"
S372,Underground Water Channel from Bandh to Kasbin Talao,Pavagadh/Champaner,Panchmahals,Gujarat,22.483285,73.533075,"approximate (area: Pavagadh/Champaner, Panchmahals)"
S373,Underground Water Channel from Navlakhi Talav to Jamuna Kund,Pavagadh/Champaner,Panchmahals,Gujarat,22.483285,73.533075,"approximate (area: Pavagadh/Champaner, Panchmahals)"
