image_id,entity_type,entity_id,image_path,image_description
IMG514,structure,ST291,images/structures/ST291_Rudreshwar/img1.jpg,structure image
IMG515,structure,ST291,images/structures/ST291_Rudreshwar/img2.jpg,structure image
IMG516,structure,ST291,images/structures/ST291_Rudreshwar/img3.jpg,structure image
IMG517,structure,ST292,images/structures/ST292_Veneshwar_Mahadev_Temple/img1.jpg,structure image
IMG518,structure,ST292,images/structures/ST292_Veneshwar_Mahadev_Temple/img2.jpg,structure image
IMG519,structure,ST292,images/structures/ST292_Veneshwar_Mahadev_Temple/img3.jpg,structure image
IMG520,structure,ST293,images/structures/ST293_Veraval_Gate/img1.jpg,structure image
IMG521,structure,ST293,images/structures/ST293_Veraval_Gate/img2.jpg,structure image
IMG522,structure,ST293,images/structures/ST293_Veraval_Gate/img3.jpg,structure image
IMG523,structure,ST295,images/structures/ST295_Surya_Mandir_(Sun_Temple)/img1.jpg,structure image
IMG524,structure,ST295,images/structures/ST295_Surya_Mandir_(Sun_Temple)/img2.jpg,structure image
IMG525,structure,ST295,images/structures/ST295_Surya_Mandir_(Sun_Temple)/img3.jpg,structure image
IMG526,structure,ST296,images/structures/ST296_Mound_of_Sav/img1.jpg,structure image
IMG527,structure,ST296,images/structures/ST296_Mound_of_Sav/img2.jpg,structure image
IMG528,structure,ST296,images/structures/ST296_Mound_of_Sav/img3.jpg,structure image
IMG529,structure,ST297,images/structures/ST297_Jumma_Masjid/img1.jpg,structure image
IMG530,structure,ST297,images/structures/ST297_Jumma_Masjid/img2.jpg,structure image
IMG531,structure,ST297,images/structures/ST297_Jumma_Masjid/img3.jpg,structure image
IMG532,structure,ST298,images/structures/ST298_Stone_Inscription_at_Harshadmata_Temple/img1.jpg,structure image
IMG533,structure,ST298,images/structures/ST298_Stone_Inscription_at_Harshadmata_Temple/img2.jpg,structure image
IMG534,structure,ST298,images/structures/ST298_Stone_Inscription_at_Harshadmata_Temple/img3.jpg,structure image
IMG535,structure,ST299,images/structures/ST299_Bauddha_Gufa_(Caves)_of_Mandore/img1.jpg,structure image
IMG536,structure,ST299,images/structures/ST299_Bauddha_Gufa_(Caves)_of_Mandore/img2.jpg,structure image
IMG537,structure,ST299,images/structures/ST299_Bauddha_Gufa_(Caves)_of_Mandore/img3.jpg,structure image
IMG538,structure,ST300,images/structures/ST300_Chyavan_Kund/img1.jpg,structure image
IMG539,structure,ST300,images/structures/ST300_Chyavan_Kund/img2.jpg,structure image
IMG540,structure,ST300,images/structures/ST300_Chyavan_Kund/img3.jpg,structure image
IMG541,structure,ST301,images/structures/ST301_Navdurga_Temple/img1.jpg,structure image
IMG542,structure,ST301,images/structures/ST301_Navdurga_Temple/img2.jpg,structure image
IMG543,structure,ST301,images/structures/ST301_Navdurga_Temple/img3.jpg,structure image
IMG544,structure,ST302,images/structures/ST302_Chaumukhi_Vav/img1.jpg,structure image
IMG545,structure,ST302,images/structures/ST302_Chaumukhi_Vav/img2.jpg,structure image
IMG546,structure,ST302,images/structures/ST302_Chaumukhi_Vav/img3.jpg,structure image
IMG547,structure,ST303,images/structures/ST303_Temple_Near_Talav/img1.jpg,structure image
IMG548,structure,ST303,images/structures/ST303_Temple_Near_Talav/img2.jpg,structure image
